beach_id,beach_name,area,country,region,lat,lon,timezone,beach_text_summary,ability_level,ability_level_long_text,local_vibe,local_vibe_long_text,crowd_factor,crowd_factor_long_text,spot_rating,spot_rating_long_text,shoulder_burn,shoulder_burn_long_text,water_quality,water_quality_long_text,hazards,access,bring_your,seabed,best_season
1,Newquay - Fistral North,Newquay,England,UK + Ireland,50.4184,-5.0997,Europe/London,,,,,,,,,,,,,,,,,,
2,Porthtowan,Cornwall - West,England,UK + Ireland,50.2891,-5.2461,Europe/London,"This sandy beach is a heavy, hollow proposition at low, but works through the tides. Low tide reveals the consistent Lushingtons to the south - popular with bodyboards and barrel-hound groms. At high tide the waves are usually smaller, and the cliffs offer some protection from light southerly or southwesterly winds. Sandbars are shifty but often there's a nice right peeling from the north side of the bay. Easy access and beachfront parking means its always crowded and there's a long established local crew here. Regular board breaking sessions and strong rips means its not recommended for the inexperienced. The bay has a tendency to close out when the swell is over 6-foot.",Intermediate,Not a spot for beginners when over 2 ft as strong rips and heavy waves are a hazard here.,Doable,"Feisty, long established and competitive, but tolerant when surfed with humility and respect.",Moderate,"Large, year round local crew, but gets crazy busy in the summer.",Fun,"Classic Cornish beachie working through the tides. 'Lushies' has fast, hollow, lefts popular with bodyboarders. The main beach can have good long walls, fast tubes, or can be a giant close-out.",Medium,Long paddles when swell picks up.,Fair,Has had sewage discharge problems in heavy rain.,Rips when big and sewage after heavy rains.,"Free winter parking close to beach, which becomes pay parking after Easter.","Shortboard, funboard, longboard, fish, bodyboard","Sand, pebbles and stones at high.",September - November.
3,Gwithian,Cornwall - West,England,UK + Ireland,50.2235,-5.399,Europe/London,"This open stretch of cliff-lined sand sits just to the south of Godrevy and will generally be smaller. The currents here sculpt consistently good banks with long lefts and rights that can hold a decent size. A popular spot that breaks through the tides until near high, when it bounces off the rocky headland and cliffs, making the waves backwashy and access tricky. There are miles of golden sands laid out to the south with plenty of room to spread out - though these breaks get progressively smaller due to the headland at St Ives blocking the swell. Avoid the sketchy cliff scramble and take the steps by the lifeguard hut. Large car park overlooks the break.",Intermediate,Great for all when small but when bigger the access and crowd factor means it's better for intermediates.,Welcoming,Competitive but mostly relaxed - a popular spot with visiting surfers.,Moderate,"Large, mostly relaxed crowd.",Fun,"Banks shift a lot and can range from excellent, long walls to frustrating close-outs. More rippable than hollow.",Medium,Long paddles when swell picks up.,Clean,Clean.,Access and rocks at high tide.,"Park overlooking beach, walk north to steps.","Shortboard, funboard, longboard, fish",Sand.,"Works year round, but September - November is golden."
4,Sennen,Cornwall - West,England,UK + Ireland,50.0802,-5.6976,Europe/London,"Dropping down the steep hill and making the hairpin turn into the carpark reveals this beautiful beachbreak on the toe of Cornwall. The crescent shaped, west facing swaithe of golden sand is the most exposed break on the north coast, vacuuming up small, summer, Atlantic swells and delivering fun waves to the stoked, fair-weather crowd. However, by late Autumn, the banks are properly groomed to produce clear, crisp, hollow waves, reeling through the crowded pack of competitive locals. The southern end close to the car park is more sheltered in bigger swells.",All Abilities,Great spot for all when small summer swells roll in. Can get big and rippy during the other seasons. Best left to the experienced then.,Doable,Tolerant with humility and respect.,Heavy,"Crazy in summer, do-able in the autumn/winter.",Fun,Shifty banks that can be classic. Usually some long walls to be had.,Medium,"Spaghetti arms in big swells with heavy sets, long paddles and rips.",Clean,Clean. Beautifully clear in the summer.,Rip currents when it gets bigger.,Car park by surf shop at bottom of hill.,"Shortboard, funboard, longboard, fish",Beach break with rocks at high tide.,September - November is the golden time.
5,Constantine,Cornwall - North,England,UK + Ireland,50.5333,-5.0221,Europe/London,"One of the best breaks in the region, low tide sees this crescent shaped bay open up into a half mile stretch of golden sand. At the northern end Booby's Bay has a low tide right hand reef break, while at the southern end of the beach there is a left hand reef breaking over rocks near the headland. In between, the consistent sandbars can produce some great peaks with long lefts and rights not unusual. Works through all tides, expect a crowd.",Intermediate,Crowds and rocks mean better for those more experienced.,Welcoming,Chilled spot with competitive peaks. Follow etiquette and you'll be fine.,Moderate,"Gets busy, large local crew.",Fun,"Some long, quality waves here, with both reefs and peaks on offer. Committed local crew.",Light,Not too bad unless big.,Clean,Clean.,Rips and rocks.,"There is a small car park just a short walk from the southern end of the beach which fills quickly, plus a larger seasonal field parking further up beach road.","Shortboard, funboard, longboard, fish, bodyboard",Sand and Rock.,"Works year round, but best September - October."
6,Bude - Crooklets,Cornwall - North,England,UK + Ireland,50.8358,-4.5548,Europe/London,"The Victorian resort town of Bude has two beaches, Crooklets to the north and Summerleaze to the south. Crooklets is a quality low-tide beachbreak with hollow, punchy rides, but be aware of the fingers of rocks as the tides pushes in. Good rights to the northern end and lefts to the south. Busy in the summer.",Beginner - intermediate,Beginners in middle of bay when small. Rocks and rips mean better left to experienced surfers when bigger.,Welcoming,Largely tolerant.,Moderate,Large local crew.,Fun,"Great fun in a clean swell, peaks are pretty consistent.",Medium,Rips by rocks when swell picks up.,Clean,Clean.,Rocks.,There is a large car park cliff top just back from the beach.,"Shortboard, fish, funboard, longboard, bodyboard, bodysurfing",Sand and rock patches.,"Works year round, but best in September - November."
13,Isle of Wight - Compton ,Southern England - East,England,UK + Ireland,50.6611,-1.4765,Europe/London,"This long, popular bay stretches south and has three main set-ups. Fields is a consistent beach break with good, mid-tide peaks in medium swells. To the south is Middle Compton, a flexible spot with more powerful peaks and finally Hanover Point, a pretty mellow A frame which always attracts the crowds, best in medium swell at mid to high tide.",Intermediate,"Not great for beginners, safer bays nearby.",Welcoming,Pretty chilled.,Moderate,"Popular breaks, especially in summer.",Fun,"Variety of spots, overall pretty fun and walling, more serious in big swells.",Light,"OK paddle but waves can break a long way out, gets rippy when big.",Clean,"Silty water, generally clean.","Rocks, can be rippy and heavy when big.","Cliffs make access tricky, National Trust cliff top parking with steps at Hanover Point.","Shortboard, fish, funboard, longboard, sup, bodyboard",Flat rocky reef partially covered with sand.,Year round but September - November is best.
7,Croyde Beach,Devon - North,England,UK + Ireland,51.1302,-4.2435,Europe/London,"One of the UK's most popular surf destinations, this is a high-quality, hollow, peaky beachbreak, hemmed in by Downend Point to the south and Baggy Point to the north. The currents and swells conspire to produce heavy, low-tide barrels and excellent waves as the tide pushes in. The average surf here tends to be a bit smaller than in Cornwall, but six-foot Croyde can offer board-breakingly good Hossegor-like conditions. Gets crazy busy in small summer waves.",Intermediate - advanced,"Mostly for intermediate-advanced surfers only, OK for beginners when small... but there are better options nearby for learning.",Doable,Competitive.,Moderate,Large local crew plus huge influx of visitors.,Fun,"One of the UK's best beachies on its day, hollow and heavy peaks.",Medium,Heavy and rippy when swells picks up.,Clean,OK - can be sewage after heavy rains.,Crowds; rips and board-breakingly heavy waves when it gets big.,There is beachside car parking just behind the dunes on northern edge and on Baggy Point.,"Shortboard, fish, longboard, bodyboard, bodysurfing",Sand with rocks at N and S end.,Works year round but best in the clean swells of Autumn -September – November.
8,Praa Sands,Cornwall & Devon - South,England,UK + Ireland,50.103,-5.391,Europe/London,"Through the winter months this beachbreak regularly produces waves, from fun walls to speeding barrels. When big westerly or clean southwesterly swells combine with the chilly northerly winds that blow out the north coast, surfers from across the county head for the south side and the car park at Praa will be buzzing. Undoubtedly south coast Cornwall's best-known beachbreak, it can produce heavy, hollow peaks in big swells, while a decent right often reels away from the western headland. High tide can transform into a shore dump. A crowd magnet.",Intermediate,Crowd factor means beginners may struggle for waves. Also heavy.,Doable,Competitive.,Heavy,Packed when it's on but there are a few peaks which help spread the crowds a little.,Fun,"Lower tides can have nice peaks, occasionally hollow and challenging.",Medium,Can be hardwork.,Clean,Clean.,"Crowds, more crowds.",There are a number of pay car parks overlooking the beach.,"Shortboard, longboard, fish, bodyboard, bodysurfing",Sand.,Mostly  December - February especially in big Atlantic storms.
9,Whitsand Bay,Cornwall & Devon - South,England,UK + Ireland,50.3387,-4.2434,Europe/London,"When a decent swell rolls in from the west, surfers from Plymouth and around will head for Whitsand Bay, with its nearly 4 mile long stretch of sand. Even with such a catchment area and surfing population on its doorstep, you can still escape the crowds and low tide offers plenty of room to spread out. Good banks can be found along the bay but often build up in the Boiler Beach and Freathy Rocks vicinity. Access to the area around Tregantle is regulated by the military (firing range) and closed when red flags flying. Best from low to mid tide. Parking and access can be tricky with only a few small car parks set back from the beach.",Beginner - intermediate,Good for any and all surfers.,Welcoming,Pretty chilled.,Mellow,Popular but loads of room to spread out.,Fun,"One of the best spots in the area, good quality waves, with plenty of room to spread out.",Light,Can be rippy when size picks up.,Clean,OK.,"Rocks at high tide; access can be steep and sketchy, rips when big.",Parking can be tricky. Biggest car park at Tregantle. Some of the access trails can be a bit sketchy.,"Shortboard, longboard, fish, sup, bodyboard",Sand.,September - February are best when the big swells roll into the Channel.
